2022Apr,1.38,Normal value (A),1.38
2022Mar,0.88,Normal value (A),0.68
2022Feb,0.76,Normal value (A),
2022Jan,0.40,Normal value (A),
2021Dec,0.14,Normal value (A),0.18
2021Nov,0.18,Normal value (A),
2021Oct,0.23,Normal value (A),
2021Sep,0.07,Normal value (A),0.00
2021Aug,-0.08,Normal value (A),
2021Jul,0.02,Normal value (A),
2021Jun,0.16,Normal value (A),0.16
2021May,0.24,Normal value (A),
2021Apr,0.08,Normal value (A),
2021Mar,0.03,Normal value (A),-0.07
2021Feb,-0.06,Normal value (A),
2021Jan,-0.18,Normal value (A),
2020Dec,-0.21,Normal value (A),-0.18
2020Nov,-0.18,Normal value (A),
2020Oct,-0.14,Normal value (A),
2020Sep,-0.03,Normal value (A),0.01
2020Aug,-0.00,Normal value (A),
2020Jul,0.05,Normal value (A),
2020Jun,0.18,Normal value (A),0.27
2020May,0.27,Normal value (A),
2020Apr,0.35,Normal value (A),
2020Mar,0.18,Normal value (A),0.12
2020Feb,0.01,Normal value (A),
2020Jan,0.19,Normal value (A),
2019Dec,0.23,Normal value (A),0.14
2019Nov,0.17,Normal value (A),
2019Oct,0.02,Normal value (A),
2019Sep,-0.07,Normal value (A),0.04
2019Aug,-0.03,Normal value (A),
2019Jul,0.22,Normal value (A),
2019Jun,0.43,Normal value (A),0.63
2019May,0.70,Normal value (A),
2019Apr,0.77,Normal value (A),
2019Mar,0.84,Normal value (A),0.93
2019Feb,0.94,Normal value (A),
2019Jan,1.01,Normal value (A),
2018Dec,1.09,Normal value (A),1.21
2018Nov,1.24,Normal value (A),
2018Oct,1.30,Normal value (A),
2018Sep,1.17,Normal value (A),1.12
2018Aug,1.14,Normal value (A),
2018Jul,1.03,Normal value (A),
2018Jun,1.12,Normal value (A),1.06
2018May,1.08,Normal value (A),
2018Apr,0.99,Normal value (A),
2018Mar,1.07,Normal value (A),1.10
2018Feb,1.19,Normal value (A),
2018Jan,1.05,Normal value (A),
2017Dec,0.91,Normal value (A),0.98
2017Nov,0.95,Normal value (A),
2017Oct,1.08,Normal value (A),
2017Sep,1.06,Normal value (A),1.10
2017Aug,1.06,Normal value (A),
2017Jul,1.18,Normal value (A),
2017Jun,1.01,Normal value (A),1.09
2017May,1.13,Normal value (A),
2017Apr,1.14,Normal value (A),
2017Mar,1.27,Normal value (A),1.20
2017Feb,1.24,Normal value (A),
2017Jan,1.10,Normal value (A),
2016Dec,1.04,Normal value (A),0.92
2016Nov,1.00,Normal value (A),
2016Oct,0.73,Normal value (A),
2016Sep,0.62,Normal value (A),0.60
2016Aug,0.57,Normal value (A),
2016Jul,0.61,Normal value (A),
2016Jun,0.81,Normal value (A),0.88
2016May,0.90,Normal value (A),
2016Apr,0.92,Normal value (A),
2016Mar,0.92,Normal value (A),1.03
2016Feb,1.03,Normal value (A),
2016Jan,1.15,Normal value (A),
2015Dec,1.20,Normal value (A),1.18
