2022May,8.1,Estimated value (E),,7.8
2022Apr,7.4,Normal value (A),,
2022Mar,7.4,Normal value (A),,6.1
2022Feb,5.9,Normal value (A),,
2022Jan,5.1,Normal value (A),,
2021Dec,5.0,Normal value (A),,4.7
2021Nov,4.9,Normal value (A),,
2021Oct,4.1,Normal value (A),,
2021Sep,3.4,Normal value (A),,2.9
2021Aug,3.0,Normal value (A),,
2021Jul,2.2,Normal value (A),,
2021Jun,1.9,Normal value (A),,1.8
2021May,2.0,Normal value (A),,
2021Apr,1.6,Normal value (A),,
2021Mar,1.3,Normal value (A),,1.0
2021Feb,0.9,Normal value (A),,
2021Jan,0.9,Normal value (A),,
2020Dec,-0.3,Normal value (A),,-0.3
2020Nov,-0.3,Normal value (A),,
2020Oct,-0.3,Normal value (A),,
2020Sep,-0.3,Normal value (A),,-0.0
2020Aug,-0.2,Normal value (A),,
2020Jul,0.4,Normal value (A),,
2020Jun,0.3,Normal value (A),,0.2
2020May,0.1,Normal value (A),,
2020Apr,0.3,Normal value (A),,
2020Mar,0.7,Normal value (A),,1.1
2020Feb,1.2,Normal value (A),,
2020Jan,1.4,Normal value (A),,
2019Dec,1.3,Normal value (A),,1.0
2019Nov,1.0,Normal value (A),,
2019Oct,0.7,Normal value (A),,
2019Sep,0.8,Normal value (A),,0.9
2019Aug,1.0,Normal value (A),,
2019Jul,1.0,Normal value (A),,
2019Jun,1.3,Normal value (A),,1.4
2019May,1.2,Normal value (A),,
2019Apr,1.7,Normal value (A),,
2019Mar,1.4,Normal value (A),,1.4
2019Feb,1.5,Normal value (A),,
2019Jan,1.4,Normal value (A),,
2018Dec,1.5,Normal value (A),,1.9
2018Nov,1.9,Normal value (A),,
2018Oct,2.3,Normal value (A),,
2018Sep,2.1,Normal value (A),,2.1
2018Aug,2.1,Normal value (A),,
2018Jul,2.2,Normal value (A),,
2018Jun,2.0,Normal value (A),,1.7
2018May,2.0,Normal value (A),,
2018Apr,1.2,Normal value (A),,
2018Mar,1.4,Normal value (A),,1.3
2018Feb,1.1,Normal value (A),,
2018Jan,1.3,Normal value (A),,
2017Dec,1.3,Normal value (A),,1.4
2017Nov,1.5,Normal value (A),,
2017Oct,1.4,Normal value (A),,
2017Sep,1.6,Normal value (A),,1.5
2017Aug,1.5,Normal value (A),,
2017Jul,1.3,Normal value (A),,
2017Jun,1.3,Normal value (A),,1.5
2017May,1.4,Normal value (A),,
2017Apr,1.9,Normal value (A),,
2017Mar,1.5,Normal value (A),,1.7
2017Feb,2.0,Normal value (A),,
2017Jan,1.7,Normal value (A),,
2016Dec,1.1,Normal value (A),,0.7
2016Nov,0.6,Normal value (A),,
